province,month,mean_sunshine,temperature,lat,sunshine_hours,t_amb
Anhui,4,188.0602233886719,17.38909912109375,31.9,,
Anhui,8,169.55633850097655,27.08167419433594,31.9,,
Anhui,12,143.24449768066407,5.424629211425781,31.9,,
Anhui,2,95.43595886230469,8.128895568847657,31.9,,
Anhui,1,124.63908538818359,3.212114715576172,31.9,,
Anhui,7,192.78207092285157,28.402862548828125,31.9,,
Anhui,6,137.0478973388672,24.91164703369141,31.9,,
Anhui,3,158.36811218261718,10.559634399414062,31.9,,
Anhui,5,182.45062561035155,21.344607543945312,31.9,,
Anhui,11,121.380419921875,12.008627319335938,31.9,,
Anhui,10,174.64055480957032,17.230088806152345,31.9,,
Anhui,9,143.70338592529296,23.02446746826172,31.9,,
Beijing,4,238.99655456542968,14.237403869628906,39.9,,
Beijing,8,225.5833312988281,23.00415344238281,39.9,,
Beijing,12,173.03968811035156,-3.029329872131348,39.9,,
Beijing,2,162.69048919677735,0.6346870422363281,39.9,,
Beijing,1,186.05524291992188,-4.860370254516601,39.9,,
Beijing,7,199.108447265625,24.573568725585936,39.9,,
Beijing,6,200.41779479980468,23.461903381347657,39.9,,
Beijing,3,237.34930114746095,5.268259048461914,39.9,,
Beijing,5,266.2967041015625,18.7550537109375,39.9,,
Beijing,11,151.5491943359375,4.451209640502929,39.9,,
Beijing,10,194.30797424316407,11.981300354003906,39.9,,
Beijing,9,197.43291625976562,19.075704956054686,39.9,,
Chongqing,4,117.02277145385742,17.865162658691407,29.6,,
Chongqing,8,197.26905212402343,25.078459167480467,29.6,,
Chongqing,12,44.75390777587891,6.626429748535156,29.6,,
Chongqing,2,33.401054763793944,8.232712554931641,29.6,,
Chongqing,1,40.78848724365234,5.272076797485353,29.6,,
Chongqing,7,186.2136474609375,25.159791564941408,29.6,,
Chongqing,6,103.37482070922849,22.365693664550783,29.6,,
Chongqing,3,90.1398193359375,11.106861877441407,29.6,,
Chongqing,5,107.74046325683594,19.75724029541016,29.6,,
Chongqing,11,38.7117244720459,11.753219604492188,29.6,,
Chongqing,10,90.39087371826172,15.345773315429687,29.6,,
Chongqing,9,88.3452880859375,21.084506225585933,29.6,,
Fujian,4,118.65982208251953,18.346356201171876,26.1,,
Fujian,8,198.16810607910156,26.3632568359375,26.1,,
Fujian,12,114.26199188232422,11.055189514160157,26.1,,
Fujian,2,80.16302871704102,11.383103179931641,26.1,,
Fujian,1,107.0357063293457,8.489395904541016,26.1,,
Fujian,7,222.94578247070314,26.235537719726562,26.1,,
Fujian,6,136.03262176513672,24.37645721435547,26.1,,
Fujian,3,101.63265228271484,12.834609985351562,26.1,,
Fujian,5,95.92737121582032,21.74207305908203,26.1,,
Fujian,11,112.12452545166016,16.07623748779297,26.1,,
Fujian,10,186.1600830078125,18.80656280517578,26.1,,
Fujian,9,162.32755126953126,23.45601806640625,26.1,,
Gansu,4,260.1417266845703,9.27220458984375,36.1,,
Gansu,8,265.0286865234375,16.97387237548828,36.1,,
Gansu,12,205.97174377441405,-6.4263160705566404,36.1,,
Gansu,2,189.98700866699218,-4.9779102325439455,36.1,,
Gansu,1,212.25591125488282,-8.991547393798829,36.1,,
Gansu,7,260.7105255126953,18.793716430664066,36.1,,
Gansu,6,247.81949768066406,16.18145294189453,36.1,,
Gansu,3,249.8810302734375,1.2108893394470217,36.1,,
Gansu,5,273.90748901367186,12.004544067382813,36.1,,
Gansu,11,191.65624389648437,-2.0261463165283202,36.1,,
Gansu,10,230.75198364257812,5.048976135253906,36.1,,
Gansu,9,214.69349670410156,12.273977661132813,36.1,,
Guangdong,4,104.896337890625,21.78822631835937,23.1,,
Guangdong,8,206.82227172851563,27.7591552734375,23.1,,
Guangdong,12,129.40251617431642,14.88004150390625,23.1,,
Guangdong,2,75.75911865234374,14.373365783691407,23.1,,
Guangdong,1,119.7170196533203,12.110847473144533,23.1,,
Guangdong,7,206.8337890625,27.361245727539064,23.1,,
Guangdong,6,169.3453155517578,27.16303100585937,23.1,,
Guangdong,3,72.69038619995118,16.57746124267578,23.1,,
Guangdong,5,116.42308502197265,24.866590881347655,23.1,,
Guangdong,11,128.6537628173828,19.289578247070313,23.1,,
Guangdong,10,191.42884826660156,21.886459350585934,23.1,,
Guangdong,9,184.94252319335936,25.89979248046875,23.1,,
